Year,Value
1920,-0.2933
1921,-0.2453
1922,-0.2404
1923,-0.2398
1924,-0.2236
1925,-0.2052
1926,-0.1799
1927,-0.1569
1928,-0.1654
1929,-0.1712
1930,-0.2268
1931,-0.2172
1932,-0.2022
1933,-0.1986
1934,-0.2056
1935,-0.1994
1936,-0.1990
1937,-0.2025
1938,-0.1723
1939,-0.1702
1940,-0.2065
1941,-0.2210
1942,-0.2280
1943,-0.2256
1944,-0.2127
1945,-0.1954
1946,-0.2019
1947,-0.2086
1948,-0.1986
1949,-0.1873
1950,-0.1859
1951,-0.1791
1952,-0.1686
1953,-0.1828
1954,-0.1360
1955,-0.1509
1956,-0.1641
1957,-0.1299
1958,-0.1289
1959,-0.1319
1960,-0.1288
1961,-0.1321
1962,-0.1328
1963,-0.1563
1964,-0.1485
1965,-0.1180
1966,-0.1078
1967,-0.0893
1968,-0.0816
1969,-0.0841
1970,-0.0865
1971,-0.0974
1972,-0.0653
1973,-0.0643
1974,-0.0753
1975,-0.0759
1976,-0.0728
1977,-0.0322
1978,-0.0321
